days_diff,customers
0,257
1,39
2,20
3,22
4,21
5,17
6,21
7,21
8,25
9,11
10,19
11,14
12,12
13,14
14,16
15,20
16,17
17,19
18,20
19,8
20,21
21,18
22,26
23,14
24,19
25,19
26,14
27,23
28,22
29,19
30,15
31,15
32,23
33,25
34,29
35,25
36,20
37,20
38,18
39,22
40,13
41,9
42,13
43,15
44,18
45,23
46,21
47,19
48,14
49,25
50,18
51,13
52,16
53,22
54,13
55,23
56,22
57,16
58,19
59,18
60,18
61,17
62,18
63,20
64,22
65,18
66,19
67,13
68,29
69,16
70,20
71,17
72,15
73,16
74,24
75,15
76,24
77,22
78,13
79,21
80,20
81,22
82,18
83,10
84,15
85,13
86,15
87,15
88,16
89,12
90,14
91,17
92,10
93,14
94,16
95,15
96,16
97,15
98,10
99,15
