month,buyers,repeat_buyers,repeat_share
2024-11-01,2203,358,0.1625056740807989
2024-12-01,2921,421,0.14412872304005478
2025-01-01,2871,391,0.13618948101706724
2025-02-01,2630,436,0.16577946768060836
2025-03-01,3415,582,0.17042459736456808
2025-04-01,3446,603,0.17498549042367964
2025-05-01,4650,663,0.14258064516129032
2025-06-01,4613,779,0.16887058313461956
2025-07-01,4073,906,0.22244046157623373
2025-08-01,3072,745,0.24251302083333334
2025-09-01,2438,719,0.2949138638228056
2025-10-01,2173,531,0.24436263230556834
