카테고리,키워드,빈도
가격/가치,구매평,19
가격/가치,구매했습니다,3
가격/가치,구매입니다,3
가격/가치,재구매입니다,3
가격/가치,재구매,2
가격/가치,세번째구매,1
가격/가치,구매해서,1
가격/가치,재구매해서,1
가격/가치,구매할게요,1
가격/가치,구매해,1
가격/가치,돈은,1
가격/가치,구매했는데,1
가격/가치,구매입니당,1
가격/가치,구매합니다,1
가격/가치,재구매하고,1
가격/가치,가격도,1
가격/가치,구매하는데,1
가격/가치,구매,1
가격/가치,큰돈이라,1
가격/가치,재구매인지,1
성분/안전성,향도,4
성분/안전성,순한,2
성분/안전성,트러블,2
성분/안전성,냄새는,1
성분/안전성,억지향기,1
성분/안전성,향과,1
성분/안전성,허브향이라서,1
성분/안전성,자극도,1
성분/안전성,민감한,1
성분/안전성,트러블도,1
성분/안전성,트러블이,1
성분/안전성,전성분을,1
텍스처/사용감,촉촉하고,2
텍스처/사용감,촉촉하네요,2
텍스처/사용감,끈적이지도,2
텍스처/사용감,촉촉한,2
텍스처/사용감,발림성도,1
텍스처/사용감,부드러움,1
텍스처/사용감,끈적임도,1
텍스처/사용감,발림성이,1
텍스처/사용감,흡수,1
텍스처/사용감,끈적임,1
텍스처/사용감,촉촉해,1
텍스처/사용감,쫀쫀함이,1
텍스처/사용감,가벼운것같아,1
텍스처/사용감,끈적임이,1
텍스처/사용감,텍스처가,1
피부/효과,좋아요,9
피부/효과,피부가,5
피부/효과,만족합니다,3
피부/효과,피부,2
피부/효과,만족하며,2
피부/효과,좋아,2
피부/효과,좋은,2
피부/효과,좋아서,2
피부/효과,좋아질까,1
피부/효과,효과가,1
피부/효과,제피부에는,1
피부/효과,추천합니다,1
피부/효과,만족스러움,1
피부/효과,너부좋아서,1
피부/효과,너무좋아요,1
피부/효과,피부는,1
피부/효과,효과도,1
피부/효과,피부를,1
피부/효과,피부에,1
피부/효과,탄력감을,1
피부/효과,피부도,1
피부/효과,좋아지고,1
피부/효과,만족해욤,1
피부/효과,기분좋은,1
피부/효과,피부인,1
피부/효과,개선되었으면,1
피부/효과,피부인데,1
피부/효과,피부고,1
피부/효과,잔주름도,1
피부/효과,느낌,1
피부/효과,느낌도,1
